,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
39,Bleach,710,40,7.91,1045209.0,1815663,67126,TV,366,Finished Airing,Fall,2004,"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Studio Kelmadick', 'Shueisha']",['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",,Shounen
40,Shingeki no Kyojin: The Final Season,31,41,8.81,1177891.0,1786791,51008,TV,16,Finished Airing,Winter,2021,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],['MAPPA'],"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen
41,Kiseijuu: Sei no Kakuritsu,209,42,8.34,1082166.0,1747169,33068,TV,24,Finished Airing,Fall,2014,"['VAP', 'Kodansha', 'Nippon Television Network', 'Forecast Communications']",['Sentai Filmworks'],['Madhouse'],"['Action', 'Horror', 'Sci-Fi']","['Gore', 'Psychological']",Seinen
42,Cowboy Bebop,39,43,8.75,893529.0,1734058,76916,TV,26,Finished Airing,Spring,1998,['Bandai Visual'],"['Funimation', 'Bandai Entertainment']",['Sunrise'],"['Action', 'Award Winning', 'Sci-Fi']","['Adult Cast', 'Space']",
43,Sen to Chihiro no Kamikakushi,34,44,8.78,1208215.0,1722546,30486,Movie,1,Finished Airing,,2001,['Toho'],"['Disney Platform Distribution', 'GKIDS']",['Studio Ghibli'],"['Adventure', 'Award Winning', 'Supernatural']",Mythology,
44,Tokyo Ghoul √A,3948,45,7.03,1140027.0,1680356,10262,TV,12,Finished Airing,Winter,2015,"['Marvelous AQL', 'Shueisha']",['Funimation'],['Pierrot'],"['Action', 'Fantasy', 'Horror']","['Gore', 'Psychological']",Seinen
45,Neon Genesis Evangelion,210,46,8.34,1000460.0,1679253,98496,TV,26,Finished Airing,Fall,1995,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['ADV Films', 'GKIDS']","['Gainax', 'Tatsunoko Production']","['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological']",
46,Code Geass: Hangyaku no Lelouch R2,22,47,8.91,1125393.0,1667662,73674,TV,25,Finished Airing,Spring,2008,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","['Funimation', 'Bandai Entertainment']",['Sunrise'],"['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Super Power']",
47,Fairy Tail,1445,48,7.58,968898.0,1659249,45119,TV,175,Finished Airing,Fall,2009,"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha', 'DAX Production', 'Sakura Create']",['Funimation'],"['Satelight', 'A-1 Pictures']","['Action', 'Adventure', 'Fantasy']",,Shounen
48,Death Parade,385,49,8.16,946713.0,1656746,27113,TV,12,Finished Airing,Winter,2015,"['VAP', 'DAX Production', 'Nippon Television Network']",['Funimation'],['Madhouse'],"['Drama', 'Supernatural', 'Suspense']","['Adult Cast', 'High Stakes Game', 'Psychological']",
49,Violet Evergarden,60,50,8.67,890839.0,1636293,56310,TV,13,Finished Airing,Winter,2018,"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation']",['Funimation'],['Kyoto Animation'],"['Drama', 'Fantasy']",,
50,Kill la Kill,529,51,8.04,904963.0,1633317,36472,TV,24,Finished Airing,Fall,2013,"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment']",['Aniplex of America'],['Trigger'],"['Action', 'Comedy', 'Ecchi']","['School', 'Super Power']",
51,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,293,52,8.25,1014369.0,1596440,44175,TV,13,Finished Airing,Fall,2018,"['Aniplex', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation', 'Kadokawa']",['Aniplex of America'],['CloverWorks'],"['Drama', 'Romance', 'Supernatural']",School,
52,Boku no Hero Academia 4th Season,691,53,7.92,991346.0,1590512,8187,TV,25,Finished Airing,Fall,2019,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],,"['School', 'Super Power']",Shounen
