Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Demographic
Deadman Wonderland,3296,102,7.16,658435.0,1182547,6602,TV,12,Finished Airing,Spring,2011,Manglobe,Shounen
Guilty Crown,2038,103,7.42,614795.0,1167009,16803,TV,22,Finished Airing,Fall,2011,Production I.G,
Samurai Champloo,123,104,8.51,602473.0,1166142,35499,TV,26,Finished Airing,Spring,2004,Manglobe,
Mononoke Hime,59,105,8.67,753355.0,1166148,20214,Movie,1,Finished Airing,,1997,Studio Ghibli,
Kobayashi-san Chi no Maid Dragon,614,106,7.97,700494.0,1161727,16644,TV,13,Finished Airing,Winter,2017,Kyoto Animation,
Dragon Ball Z,386,107,8.16,800474.0,1157131,35447,TV,291,Finished Airing,Spring,1989,Toei Animation,Shounen
Chainsaw Man,70,108,8.64,536613.0,1154887,38264,TV,12,Finished Airing,Fall,2022,MAPPA,Shounen
Kimetsu no Yaiba: Yuukaku-hen,28,109,8.82,704893.0,1154804,22714,TV,11,Finished Airing,Winter,2022,ufotable,Shounen
Kuroko no Basket,497,110,8.07,669357.0,1133525,20516,TV,25,Finished Airing,Spring,2012,Production I.G,Shounen
Clannad: After Story,17,111,8.94,631642.0,1132558,68370,TV,24,Finished Airing,Fall,2008,Kyoto Animation,
Kuroshitsuji,1216,112,7.67,582133.0,1120460,21842,TV,24,Finished Airing,Fall,2008,A-1 Pictures,Shounen
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,465,113,8.1,792711.0,1118339,20731,TV,24,Finished Airing,Spring,2014,David Production,Shounen
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,35,114,8.78,742114.0,1117331,15056,TV,10,Finished Airing,Fall,2016,Production I.G,Shounen
Dororo,301,115,8.24,568317.0,1115370,18887,TV,24,Finished Airing,Winter,2019,Tezuka Productions,Shounen
Dororo,301,115,8.24,568317.0,1115370,18887,TV,24,Finished Airing,Winter,2019,MAPPA,Shounen
Nisekoi,1455,116,7.58,629730.0,1114353,10588,TV,20,Finished Airing,Winter,2014,Shaft,Shounen
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,800,117,7.86,699364.0,1113793,16810,TV,12,Finished Airing,Summer,2017,Lerche,
Tokyo Revengers,536,118,8.03,601746.0,1109631,24604,TV,24,Finished Airing,Spring,2021,LIDENFILMS,Shounen
Kyoukai no Kanata,1065,119,7.73,527452.0,1109596,11642,TV,12,Finished Airing,Fall,2013,Kyoto Animation,
Mushoku Tensei: Isekai Ittara Honki Dasu,198,120,8.37,671045.0,1105359,27237,TV,11,Finished Airing,Winter,2021,Others,
Tokyo Ghoul:re,7406,121,6.38,652987.0,1096671,3732,TV,12,Finished Airing,Spring,2018,Pierrot,Seinen
Tokyo Ghoul:re,7406,121,6.38,652987.0,1096671,3732,TV,12,Finished Airing,Spring,2018,Others,Seinen
Zankyou no Terror,461,122,8.1,582961.0,1095141,21196,TV,11,Finished Airing,Summer,2014,MAPPA,
Shokugeki no Souma: Ni no Sara,456,123,8.1,688712.0,1079141,3043,TV,13,Finished Airing,Summer,2016,J.C.Staff,Shounen
Shingeki no Kyojin: The Final Season Part 2,37,124,8.77,581602.0,1071526,28531,TV,12,Finished Airing,Winter,2022,MAPPA,Shounen
Log Horizon,680,125,7.93,555238.0,1066145,10084,TV,25,Finished Airing,Fall,2013,Satelight,
Ouran Koukou Host Club,394,126,8.16,645398.0,1064021,32698,TV,26,Finished Airing,Spring,2006,Bones,Shoujo
Nanatsu no Taizai: Imashime no Fukkatsu,1388,127,7.6,663143.0,1061446,3755,TV,24,Finished Airing,Winter,2018,A-1 Pictures,Shounen
Fate/Zero 2nd Season,97,128,8.56,674399.0,1058317,19931,TV,12,Finished Airing,Spring,2012,ufotable,
Devilman: Crybaby,993,129,7.76,642706.0,1056533,22598,ONA,10,Finished Airing,,2018,Others,Shounen
Boku no Hero Academia 5th Season,2096,130,7.4,509085.0,1052193,10010,TV,25,Finished Airing,Spring,2021,Bones,Shounen
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,127,131,8.5,706988.0,1027498,37284,TV,39,Finished Airing,Spring,2016,David Production,Shounen
Goblin Slayer,2037,132,7.42,613124.0,1024908,6849,TV,12,Finished Airing,Fall,2018,White Fox,
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,152,133,8.44,726117.0,1021829,19583,TV,24,Finished Airing,Winter,2015,David Production,Shounen
Tonari no Kaibutsu-kun,1791,134,7.48,576158.0,1020525,6015,TV,13,Finished Airing,Fall,2012,"""Brains Base""",Shoujo
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,204,135,8.35,582200.0,1015449,11163,TV,13,Finished Airing,Summer,2020,White Fox,
Saiki Kusuo no Ψ-nan,164,136,8.42,563015.0,1009344,26978,TV,120,Finished Airing,Summer,2016,J.C.Staff,Shounen
Saiki Kusuo no Ψ-nan,164,136,8.42,563015.0,1009344,26978,TV,120,Finished Airing,Summer,2016,Others,Shounen
Fate/stay night: Unlimited Blade Works,357,137,8.19,637065.0,1005932,15825,TV,12,Finished Airing,Fall,2014,ufotable,
Gintama,18,138,8.94,375199.0,1005351,57005,TV,201,Finished Airing,Spring,2006,Sunrise,Shounen
Mahouka Koukou no Rettousei,2072,139,7.41,557026.0,1005260,10775,TV,26,Finished Airing,Spring,2014,Madhouse,
K-On!,828,140,7.85,546087.0,999469,22970,TV,13,Finished Airing,Spring,2009,Kyoto Animation,
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,330,141,8.22,645673.0,996072,15607,TV,13,Finished Airing,Spring,2015,feel.,
Magi: The Labyrinth of Magic,555,142,8.02,526584.0,991556,8915,TV,25,Finished Airing,Fall,2012,A-1 Pictures,Shounen
Tonari no Totoro,296,143,8.25,643041.0,986525,7765,Movie,1,Finished Airing,,1988,Studio Ghibli,
Date A Live,3294,144,7.16,553889.0,975486,9362,TV,12,Finished Airing,Spring,2013,Others,
Golden Time,1054,145,7.74,513915.0,971390,12488,TV,24,Finished Airing,Fall,2013,J.C.Staff,
ReLIFE,612,146,7.98,543071.0,971262,9551,TV,13,Finished Airing,Summer,2016,TMS Entertainment,
Dragon Ball,632,147,7.96,629015.0,970712,14644,TV,153,Finished Airing,Winter,1986,Toei Animation,Shounen
Sword Art Online: Alicization,1528,148,7.56,573384.0,970238,6952,TV,24,Finished Airing,Fall,2018,A-1 Pictures,
Monster,26,149,8.86,348173.0,969926,44850,TV,74,Finished Airing,Spring,2004,Madhouse,Seinen
Prison School,1378,150,7.61,563102.0,950630,7021,TV,12,Finished Airing,Summer,2015,J.C.Staff,Seinen
Overlord II,1002,151,7.76,586549.0,945604,4260,TV,13,Finished Airing,Winter,2018,Madhouse,
Black Lagoon,539,152,8.03,461525.0,939321,17229,TV,12,Finished Airing,Spring,2006,Madhouse,Seinen
Fairy Tail (2014),1232,153,7.66,527815.0,937639,11755,TV,102,Finished Airing,Spring,2014,A-1 Pictures,Shounen
Fairy Tail (2014),1232,153,7.66,527815.0,937639,11755,TV,102,Finished Airing,Spring,2014,Bridge,Shounen
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,88,154,8.58,618349.0,930387,29772,TV,39,Finished Airing,Fall,2018,David Production,Shounen
Dr. Stone: Stone Wars,370,155,8.18,511316.0,921962,7009,TV,11,Finished Airing,Winter,2021,TMS Entertainment,Shounen
Shokugeki no Souma: San no Sara,558,156,8.02,561799.0,920524,2620,TV,12,Finished Airing,Fall,2017,J.C.Staff,Shounen
Fate/stay night,2656,157,7.28,495383.0,903730,7113,TV,24,Finished Airing,Winter,2006,Studio Deen,
Darker than Black: Kuro no Keiyakusha,490,158,8.07,423300.0,903411,16284,TV,25,Finished Airing,Spring,2007,Bones,
Wotaku ni Koi wa Muzukashii,661,159,7.94,480672.0,902088,10811,TV,11,Finished Airing,Spring,2018,A-1 Pictures,
"Kanojo, Okarishimasu",3617,160,7.1,571024.0,897187,8057,TV,12,Finished Airing,Summer,2020,TMS Entertainment,Shounen
Tenki no Ko,249,161,8.3,536633.0,894975,11355,Movie,1,Finished Airing,,2019,CoMix Wave Films,
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,2980,162,7.22,518117.0,894751,8086,TV,13,Finished Airing,Summer,2013,Lerche,
Byousoku 5 Centimeter,1439,163,7.58,535164.0,894331,10594,Movie,3,Finished Airing,,2007,CoMix Wave Films,
Rakudai Kishi no Cavalry,1892,164,7.45,524617.0,892001,8412,TV,12,Finished Airing,Fall,2015,SILVER LINK.,
Rakudai Kishi no Cavalry,1892,164,7.45,524617.0,892001,8412,TV,12,Finished Airing,Fall,2015,Others,
Plastic Memories,706,165,7.91,446317.0,888033,11341,TV,13,Finished Airing,Spring,2015,Doga Kobo,
Sono Bisque Doll wa Koi wo Suru,281,166,8.26,523348.0,885283,18152,TV,12,Finished Airing,Winter,2022,CloverWorks,Seinen
