Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Genres,Demographic
Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,844,2480,7.83,24446,64366,284,Special,1,Finished Airing,,2022,Slice of Life,
Kokoro ga Sakebitagatterunda.,845,689,7.83,150156,312520,1876,Movie,1,Finished Airing,,2015,Drama,
Kokoro ga Sakebitagatterunda.,845,689,7.83,150156,312520,1876,Movie,1,Finished Airing,,2015,Romance,
Oniisama e...,846,3080,7.83,9383,42842,945,TV,39,Finished Airing,Summer,1991,Drama,Shoujo
Oniisama e...,846,3080,7.83,9383,42842,945,TV,39,Finished Airing,Summer,1991,Girls Love,Shoujo
Planetarian: Hoshi no Hito,847,2988,7.83,14407,45414,195,Movie,1,Finished Airing,,2016,Drama,
Planetarian: Hoshi no Hito,847,2988,7.83,14407,45414,195,Movie,1,Finished Airing,,2016,Sci-Fi,
Princess Connect! Re:Dive Season 2,848,1729,7.83,38885,113134,801,TV,12,Finished Airing,Winter,2022,Adventure,
Princess Connect! Re:Dive Season 2,848,1729,7.83,38885,113134,801,TV,12,Finished Airing,Winter,2022,Comedy,
Princess Connect! Re:Dive Season 2,848,1729,7.83,38885,113134,801,TV,12,Finished Airing,Winter,2022,Fantasy,
Princess Connect! Re:Dive Season 2,848,1729,7.83,38885,113134,801,TV,12,Finished Airing,Winter,2022,Gourmet,
Seitokai Yakuindomo Movie,849,2660,7.83,23144,56581,74,Movie,1,Finished Airing,,2017,,Shounen
Seto no Hanayome OVA,850,2779,7.83,27626,51781,30,OVA,2,Finished Airing,,2008,Comedy,Shounen
Seto no Hanayome OVA,850,2779,7.83,27626,51781,30,OVA,2,Finished Airing,,2008,Romance,Shounen
Shin Jidai,852,10769,7.83,1079,1801,6,Music,1,Finished Airing,,2022,,
Suzumiya Haruhi no Yuuutsu,853,169,7.83,460795,878470,14801,TV,14,Finished Airing,Spring,2006,Award Winning,
Suzumiya Haruhi no Yuuutsu,853,169,7.83,460795,878470,14801,TV,14,Finished Airing,Spring,2006,Comedy,
Suzumiya Haruhi no Yuuutsu,853,169,7.83,460795,878470,14801,TV,14,Finished Airing,Spring,2006,Mystery,
Suzumiya Haruhi no Yuuutsu,853,169,7.83,460795,878470,14801,TV,14,Finished Airing,Spring,2006,Sci-Fi,
Suzumiya Haruhi no Yuuutsu,853,169,7.83,460795,878470,14801,TV,14,Finished Airing,Spring,2006,Slice of Life,
Tasogare Otome x Amnesia,854,533,7.83,175444,384113,4420,TV,12,Finished Airing,Spring,2012,Horror,Shounen
Tasogare Otome x Amnesia,854,533,7.83,175444,384113,4420,TV,12,Finished Airing,Spring,2012,Mystery,Shounen
Tasogare Otome x Amnesia,854,533,7.83,175444,384113,4420,TV,12,Finished Airing,Spring,2012,Romance,Shounen
Tasogare Otome x Amnesia,854,533,7.83,175444,384113,4420,TV,12,Finished Airing,Spring,2012,Supernatural,Shounen
Tentai Senshi Sunred 2nd Season,855,6557,7.83,3477,7781,24,TV,26,Finished Airing,Fall,2009,,Seinen
91 Days,856,269,7.83,306855,671869,7580,TV,12,Finished Airing,Summer,2016,Action,
91 Days,856,269,7.83,306855,671869,7580,TV,12,Finished Airing,Summer,2016,Drama,
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,857,3704,7.83,12246,30232,122,Movie,1,Finished Airing,,2015,Action,Seinen
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,857,3704,7.83,12246,30232,122,Movie,1,Finished Airing,,2015,Sci-Fi,Seinen
Break Blade Movie 4: Sanka no Chi,858,2654,7.83,34374,56785,27,Movie,1,Finished Airing,,2010,Action,Shounen
Break Blade Movie 4: Sanka no Chi,858,2654,7.83,34374,56785,27,Movie,1,Finished Airing,,2010,Fantasy,Shounen
Capeta,859,4021,7.83,11184,25505,295,TV,52,Finished Airing,Fall,2005,,Shounen
Danshi Koukousei no Nichijou Specials,860,1533,7.83,71228,130839,184,Special,6,Finished Airing,,2012,,
Flanders no Inu (Movie),861,4358,7.83,5493,21205,78,Movie,1,Finished Airing,,1997,,
Gungrave,862,1181,7.83,67034,181337,2330,TV,26,Finished Airing,Fall,2003,Action,
Gungrave,862,1181,7.83,67034,181337,2330,TV,26,Finished Airing,Fall,2003,Drama,
Gungrave,862,1181,7.83,67034,181337,2330,TV,26,Finished Airing,Fall,2003,Sci-Fi,
Haikyuu!! (OVA),863,3784,7.83,9343,28999,56,OVA,10,Finished Airing,,2020,,Shounen
Haikyuu!! Riku vs. Kuu,864,794,7.83,158436,274101,573,OVA,2,Finished Airing,,2020,,Shounen
Hug tto! Precure,865,5020,7.83,4622,15077,244,TV,49,Finished Airing,Winter,2018,Action,
Hug tto! Precure,865,5020,7.83,4622,15077,244,TV,49,Finished Airing,Winter,2018,Fantasy,
Isekai Ojisan,866,847,7.83,63323,255774,1334,TV,13,Currently Airing,Summer,2022,Comedy,
Isekai Ojisan,866,847,7.83,63323,255774,1334,TV,13,Currently Airing,Summer,2022,Fantasy,
Kidou Senshi Gundam: Senkou no Hathaway,867,3652,7.83,15541,31070,249,Movie,1,Finished Airing,,2021,Action,
Kidou Senshi Gundam: Senkou no Hathaway,867,3652,7.83,15541,31070,249,Movie,1,Finished Airing,,2021,Drama,
Kidou Senshi Gundam: Senkou no Hathaway,867,3652,7.83,15541,31070,249,Movie,1,Finished Airing,,2021,Sci-Fi,
Yuru Yuri♪♪,868,1201,7.83,98643,177965,936,TV,12,Finished Airing,Summer,2012,Comedy,
Yuru Yuri♪♪,868,1201,7.83,98643,177965,936,TV,12,Finished Airing,Summer,2012,Girls Love,
Yuusha-Ou GaoGaiGar,869,4458,7.83,5891,20251,324,TV,49,Finished Airing,Winter,1997,Action,
Yuusha-Ou GaoGaiGar,869,4458,7.83,5891,20251,324,TV,49,Finished Airing,Winter,1997,Adventure,
Yuusha-Ou GaoGaiGar,869,4458,7.83,5891,20251,324,TV,49,Finished Airing,Winter,1997,Sci-Fi,
Tsurune: Tsunagari no Issha,870,3560,7.82,2861,32551,170,TV,13,Currently Airing,Winter,2023,,
Tunshi Xingkong,871,7490,7.82,1988,5541,82,ONA,26,Finished Airing,,2020,Action,
Tunshi Xingkong,871,7490,7.82,1988,5541,82,ONA,26,Finished Airing,,2020,Adventure,
Tunshi Xingkong,871,7490,7.82,1988,5541,82,ONA,26,Finished Airing,,2020,Fantasy,
Tunshi Xingkong,871,7490,7.82,1988,5541,82,ONA,26,Finished Airing,,2020,Sci-Fi,
Working'!!,872,851,7.82,147067,255004,451,TV,13,Finished Airing,Fall,2011,,Seinen
Little Witch Academia (TV),873,316,7.82,297690,606366,7178,TV,25,Finished Airing,Winter,2017,Adventure,
Little Witch Academia (TV),873,316,7.82,297690,606366,7178,TV,25,Finished Airing,Winter,2017,Comedy,
Little Witch Academia (TV),873,316,7.82,297690,606366,7178,TV,25,Finished Airing,Winter,2017,Fantasy,
Lupin III: The First,874,3775,7.82,15097,29145,158,Movie,1,Finished Airing,,2019,Action,Seinen
Lupin III: The First,874,3775,7.82,15097,29145,158,Movie,1,Finished Airing,,2019,Adventure,Seinen
Lupin III: The First,874,3775,7.82,15097,29145,158,Movie,1,Finished Airing,,2019,Comedy,Seinen
Lupin III: The First,874,3775,7.82,15097,29145,158,Movie,1,Finished Airing,,2019,Mystery,Seinen
Mahoujin Guruguru (2017),875,3606,7.82,9942,31718,241,TV,24,Finished Airing,Summer,2017,Adventure,Shounen
Mahoujin Guruguru (2017),875,3606,7.82,9942,31718,241,TV,24,Finished Airing,Summer,2017,Comedy,Shounen
Mahoujin Guruguru (2017),875,3606,7.82,9942,31718,241,TV,24,Finished Airing,Summer,2017,Fantasy,Shounen
Somali to Mori no Kamisama,876,801,7.82,110168,271681,1559,TV,12,Finished Airing,Winter,2020,Adventure,
Somali to Mori no Kamisama,876,801,7.82,110168,271681,1559,TV,12,Finished Airing,Winter,2020,Drama,
Somali to Mori no Kamisama,876,801,7.82,110168,271681,1559,TV,12,Finished Airing,Winter,2020,Fantasy,
There She Is!!,877,4119,7.82,13407,24183,159,ONA,5,Finished Airing,,2003,Comedy,
There She Is!!,877,4119,7.82,13407,24183,159,ONA,5,Finished Airing,,2003,Romance,
Aggressive Retsuko (ONA) 3rd Season,878,2142,7.82,52192,80803,238,ONA,10,Finished Airing,,2020,,
Akachan to Boku,879,4324,7.82,8080,21667,144,TV,35,Finished Airing,Summer,1996,Comedy,Shoujo
Akachan to Boku,879,4324,7.82,8080,21667,144,TV,35,Finished Airing,Summer,1996,Drama,Shoujo
Berserk: Ougon Jidai-hen - Memorial Edition,880,3836,7.82,10422,28113,186,TV,13,Finished Airing,Fall,2022,Action,Seinen
Berserk: Ougon Jidai-hen - Memorial Edition,880,3836,7.82,10422,28113,186,TV,13,Finished Airing,Fall,2022,Adventure,Seinen
Berserk: Ougon Jidai-hen - Memorial Edition,880,3836,7.82,10422,28113,186,TV,13,Finished Airing,Fall,2022,Drama,Seinen
Berserk: Ougon Jidai-hen - Memorial Edition,880,3836,7.82,10422,28113,186,TV,13,Finished Airing,Fall,2022,Fantasy,Seinen
Berserk: Ougon Jidai-hen - Memorial Edition,880,3836,7.82,10422,28113,186,TV,13,Finished Airing,Fall,2022,Horror,Seinen
Blue Period,881,498,7.82,177678,408038,5359,TV,12,Finished Airing,Fall,2021,,Seinen
Bungou Stray Dogs,882,91,7.82,635739,1260236,24297,TV,12,Finished Airing,Spring,2016,Action,Seinen
Bungou Stray Dogs,882,91,7.82,635739,1260236,24297,TV,12,Finished Airing,Spring,2016,Mystery,Seinen
Bungou Stray Dogs,882,91,7.82,635739,1260236,24297,TV,12,Finished Airing,Spring,2016,Supernatural,Seinen
Eikoku Koi Monogatari Emma: Molders-hen,883,4008,7.82,11947,25653,101,TV,12,Finished Airing,Spring,2007,Drama,Seinen
Eikoku Koi Monogatari Emma: Molders-hen,883,4008,7.82,11947,25653,101,TV,12,Finished Airing,Spring,2007,Romance,Seinen
Fate/Grand Carnival,884,2891,7.82,18051,48459,244,OVA,4,Finished Airing,,2020,Comedy,
Fate/Grand Carnival,884,2891,7.82,18051,48459,244,OVA,4,Finished Airing,,2020,Fantasy,
Fate/Grand Carnival,884,2891,7.82,18051,48459,244,OVA,4,Finished Airing,,2020,Supernatural,
Hidamari Sketch x 365,885,3673,7.82,15258,30760,182,TV,13,Finished Airing,Summer,2008,Comedy,
Hidamari Sketch x 365,885,3673,7.82,15258,30760,182,TV,13,Finished Airing,Summer,2008,Slice of Life,
Igano Kabamaru,886,5792,7.82,3980,10507,126,TV,24,Finished Airing,Fall,1983,Action,Shoujo
Igano Kabamaru,886,5792,7.82,3980,10507,126,TV,24,Finished Airing,Fall,1983,Adventure,Shoujo
Igano Kabamaru,886,5792,7.82,3980,10507,126,TV,24,Finished Airing,Fall,1983,Comedy,Shoujo
Igano Kabamaru,886,5792,7.82,3980,10507,126,TV,24,Finished Airing,Fall,1983,Romance,Shoujo
Baby Steps,887,1441,7.81,72010,142230,831,TV,25,Finished Airing,Spring,2014,,Shounen
