,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
239,Sakamichi no Apollon,240,574,8.31,163442,363143,6796,TV,12,Finished Airing,Spring,2012,"['Dentsu', 'Fuji TV', 'Toho', 'DAX Production', 'Sony Music Entertainment']",['Sentai Filmworks'],"['Tezuka Productions', 'MAPPA']","['Drama', 'Romance']","['Historical', 'Love Polygon', 'Music', 'School']",Josei
240,Shelter (Music),241,676,8.31,212870,316184,2402,Music,1,Finished Airing,,2016,"['Aniplex', 'Half H.P Studio', 'Crunchyroll']",['add some'],['A-1 Pictures'],,Music,
241,Kuroko no Basket 3rd Season,242,242,8.3,440965,713125,5002,TV,25,Finished Airing,Winter,2015,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Banpresto', 'Shueisha', 'BS11']",['add some'],['Production I.G'],,"['School', 'Team Sports']",Shounen
242,Suzume no Tojimari,243,1619,8.3,1843,121775,1083,Movie,1,Finished Airing,,2022,['STORY'],['Crunchyroll'],['CoMix Wave Films'],,,
243,Tenki no Ko,244,163,8.3,534742,891950,11344,Movie,1,Finished Airing,,2019,"['Toho', 'Lawson HMV Entertainment', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting', 'STORY', 'Lawson Entertainment']",['GKIDS'],['CoMix Wave Films'],"['Award Winning', 'Drama', 'Fantasy', 'Romance']",,
244,Blue Lock,245,450,8.3,117803,443372,6641,TV,24,Currently Airing,Fall,2022,"['TV Asahi', 'Kodansha', ""Toy's Factory"", 'Crunchyroll', 'Bandai Spirits', 'Bit grooove promotion', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']",['add some'],['8bit'],,Team Sports,Shounen
245,Detective Conan Movie 06: The Phantom of Baker Street,246,2286,8.3,44122,73290,239,Movie,1,Finished Airing,,2002,['add some'],['Funimation'],['TMS Entertainment'],"['Adventure', 'Mystery']",Detective,Shounen
246,Diamond no Ace: Second Season,247,1537,8.3,71996,130001,1033,TV,51,Finished Airing,Spring,2015,"['TV Tokyo', 'Sotsu', 'Pony Canyon', 'Kodansha', 'AT-X']",['add some'],"['Production I.G', 'Madhouse']",,"['School', 'Team Sports']",Shounen
247,Hibike! Euphonium 2,248,1015,8.3,110079,213113,3352,TV,13,Finished Airing,Fall,2016,"['Lantis', 'Pony Canyon', 'Rakuonsha']",['Ponycan USA'],['Kyoto Animation'],,"['Music', 'Performing Arts', 'School']",
248,Ashita no Joe,249,2110,8.29,21370,83167,1812,TV,79,Finished Airing,Spring,1970,['Fuji TV'],['add some'],['Mushi Production'],"['Drama', 'Sports']",Combat Sports,Shounen
