Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Demographic
Gintama.: Porori-hen,118,1144,8.52,94313,186828,868,TV,13,Finished Airing,Fall,2017,Bandai Namco Pictures,Shounen
Kimetsu no Yaiba,119,7,8.52,1871120,2706616,85956,TV,26,Finished Airing,Spring,2019,ufotable,Shounen
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,120,994,8.52,100624,218148,3067,TV,26,Finished Airing,Winter,2004,Production I.G,Seinen
Samurai Champloo,121,104,8.51,601579,1164082,35419,TV,26,Finished Airing,Spring,2004,Manglobe,
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,122,595,8.51,204839,353609,3328,Movie,1,Finished Airing,,2019,ufotable,
Hotaru no Haka,123,306,8.51,369906,621294,7382,Movie,1,Finished Airing,,1988,Studio Ghibli,
Ansatsu Kyoushitsu 2nd Season,124,85,8.5,826665,1328783,17136,TV,25,Finished Airing,Winter,2016,Lerche,Shounen
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,125,131,8.5,704923,1024630,37196,TV,39,Finished Airing,Spring,2016,David Production,Shounen
Uchuu Kyoudai,126,1155,8.5,50686,184123,3775,TV,99,Finished Airing,Spring,2012,A-1 Pictures,Seinen
One Punch Man,127,4,8.5,2083728,2989244,61289,TV,12,Finished Airing,Fall,2015,Madhouse,Seinen
Shingeki no Kyojin Season 2,128,12,8.5,1713429,2498716,20489,TV,12,Finished Airing,Spring,2017,Wit Studio,Shounen
Mob Psycho 100,129,33,8.49,1168553,1904577,44214,TV,12,Finished Airing,Summer,2016,Bones,
Aria the Origination,130,1623,8.49,30301,121595,4002,TV,13,Finished Airing,Winter,2008,Hal Film Maker,Shounen
Banana Fish,131,203,8.49,338618,786781,28392,TV,24,Finished Airing,Summer,2018,MAPPA,Shoujo
Jujutsu Kaisen 0 Movie,132,285,8.49,323171,643546,8354,Movie,1,Finished Airing,,2021,MAPPA,Shounen
Rainbow: Nisha Rokubou no Shichinin,133,550,8.48,149802,375206,8177,TV,26,Finished Airing,Spring,2010,Madhouse,Seinen
Yuru Camp△ Movie,134,2554,8.48,12884,60742,304,Movie,1,Finished Airing,,2022,Others,
Chihayafuru 3,135,1547,8.47,56427,129005,1413,TV,24,Finished Airing,Fall,2019,Madhouse,Josei
Fruits Basket: Prelude,136,2104,8.47,25216,83879,705,Movie,1,Finished Airing,,2022,TMS Entertainment,Shoujo
Gintama: The Semi-Final,137,2437,8.47,32272,65919,229,Special,2,Finished Airing,,2021,Bandai Namco Pictures,Shounen
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,138,591,8.47,211463,355383,8187,Movie,1,Finished Airing,,2013,Shaft,
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,139,250,8.46,439576,699349,4569,Movie,1,Finished Airing,,2019,J.C.Staff,
