Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Funimation,Bandai Namco Pictures,Sci-Fi,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Funimation,Bandai Namco Pictures,Sci-Fi,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Funimation,Bandai Namco Pictures,Sci-Fi,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Action,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Action,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Action,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Action,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Comedy,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Comedy,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Comedy,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Comedy,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Sci-Fi,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Sci-Fi,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Sci-Fi,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Crunchyroll,Bandai Namco Pictures,Sci-Fi,Samurai,Shounen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Aniplex,Aniplex of America,A-1 Pictures,Comedy,School,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Aniplex,Aniplex of America,A-1 Pictures,Romance,School,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Mainichi Broadcasting System,Aniplex of America,A-1 Pictures,Comedy,School,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Mainichi Broadcasting System,Aniplex of America,A-1 Pictures,Romance,School,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Magic Capsule,Aniplex of America,A-1 Pictures,Comedy,School,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Magic Capsule,Aniplex of America,A-1 Pictures,Romance,School,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Shueisha,Aniplex of America,A-1 Pictures,Comedy,School,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Shueisha,Aniplex of America,A-1 Pictures,Romance,School,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,JR East Marketing & Communications,Aniplex of America,A-1 Pictures,Comedy,School,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,JR East Marketing & Communications,Aniplex of America,A-1 Pictures,Romance,School,Seinen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Production I.G,Funimation,Wit Studio,Action,Gore,Shounen
