Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Demographic
Akatsuki no Yona,537,199,8.03,391161.0,799804,15242,TV,24,Finished Airing,Fall,2014,Marvelous AQL,Shoujo
Akatsuki no Yona,537,199,8.03,391161.0,799804,15242,TV,24,Finished Airing,Fall,2014,Tokyo MX,Shoujo
Akatsuki no Yona,537,199,8.03,391161.0,799804,15242,TV,24,Finished Airing,Fall,2014,Age Global Networks,Shoujo
Akatsuki no Yona,537,199,8.03,391161.0,799804,15242,TV,24,Finished Airing,Fall,2014,Docomo Anime Store,Shoujo
Akatsuki no Yona,537,199,8.03,391161.0,799804,15242,TV,24,Finished Airing,Fall,2014,Top-Insight International,Shoujo
Kokoro Connect,1026,200,7.75,404968.0,798705,7790,TV,13,Finished Airing,Summer,2012,Starchild Records,
Kokoro Connect,1026,200,7.75,404968.0,798705,7790,TV,13,Finished Airing,Summer,2012,Enterbrain,
Trinity Seven,3729,201,7.07,440072.0,798467,3725,TV,12,Finished Airing,Fall,2014,TV Tokyo,Shounen
Trinity Seven,3729,201,7.07,440072.0,798467,3725,TV,12,Finished Airing,Fall,2014,Sotsu,Shounen
Trinity Seven,3729,201,7.07,440072.0,798467,3725,TV,12,Finished Airing,Fall,2014,Kadokawa Shoten,Shounen
Trinity Seven,3729,201,7.07,440072.0,798467,3725,TV,12,Finished Airing,Fall,2014,AT-X,Shounen
Trinity Seven,3729,201,7.07,440072.0,798467,3725,TV,12,Finished Airing,Fall,2014,Studio Mausu,Shounen
Trinity Seven,3729,201,7.07,440072.0,798467,3725,TV,12,Finished Airing,Fall,2014,Avex Pictures,Shounen
Trinity Seven,3729,201,7.07,440072.0,798467,3725,TV,12,Finished Airing,Fall,2014,Q-Tec,Shounen
Trinity Seven,3729,201,7.07,440072.0,798467,3725,TV,12,Finished Airing,Fall,2014,Docomo Anime Store,Shounen
Trinity Seven,3729,201,7.07,440072.0,798467,3725,TV,12,Finished Airing,Fall,2014,DeNA,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,Movic,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,Fuji TV,Shounen
