Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Genres,Demographic
Death Parade,385,49,8.16,946713.0,1656746,27113,TV,12,Finished Airing,Winter,2015,Supernatural,
Death Parade,385,49,8.16,946713.0,1656746,27113,TV,12,Finished Airing,Winter,2015,Suspense,
Violet Evergarden,60,50,8.67,890839.0,1636293,56310,TV,13,Finished Airing,Winter,2018,Drama,
Violet Evergarden,60,50,8.67,890839.0,1636293,56310,TV,13,Finished Airing,Winter,2018,Fantasy,
Kill la Kill,529,51,8.04,904963.0,1633317,36472,TV,24,Finished Airing,Fall,2013,Action,
Kill la Kill,529,51,8.04,904963.0,1633317,36472,TV,24,Finished Airing,Fall,2013,Comedy,
Kill la Kill,529,51,8.04,904963.0,1633317,36472,TV,24,Finished Airing,Fall,2013,Ecchi,
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,293,52,8.25,1014369.0,1596440,44175,TV,13,Finished Airing,Fall,2018,Drama,
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,293,52,8.25,1014369.0,1596440,44175,TV,13,Finished Airing,Fall,2018,Romance,
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,293,52,8.25,1014369.0,1596440,44175,TV,13,Finished Airing,Fall,2018,Supernatural,
Boku no Hero Academia 4th Season,691,53,7.92,991346.0,1590512,8187,TV,25,Finished Airing,Fall,2019,,Shounen
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,169,54,8.41,999315.0,1585890,36661,TV,12,Finished Airing,Winter,2019,,Seinen
Another,1798,55,7.48,943386.0,1580516,16826,TV,12,Finished Airing,Winter,2012,Horror,
Another,1798,55,7.48,943386.0,1580516,16826,TV,12,Finished Airing,Winter,2012,Mystery,
Another,1798,55,7.48,943386.0,1580516,16826,TV,12,Finished Airing,Winter,2012,Supernatural,
Dr. Stone,258,56,8.29,954064.0,1579685,26050,TV,24,Finished Airing,Summer,2019,Adventure,Shounen
Dr. Stone,258,56,8.29,954064.0,1579685,26050,TV,24,Finished Airing,Summer,2019,Comedy,Shounen
Dr. Stone,258,56,8.29,954064.0,1579685,26050,TV,24,Finished Airing,Summer,2019,Sci-Fi,Shounen
Shokugeki no Souma,395,57,8.16,953057.0,1560686,23366,TV,24,Finished Airing,Spring,2015,Gourmet,Shounen
Shokugeki no Souma,395,57,8.16,953057.0,1560686,23366,TV,24,Finished Airing,Spring,2015,Ecchi,Shounen
One Punch Man 2nd Season,1770,58,7.49,926296.0,1549964,6140,TV,12,Finished Airing,Spring,2019,Action,Seinen
One Punch Man 2nd Season,1770,58,7.49,926296.0,1549964,6140,TV,12,Finished Airing,Spring,2019,Comedy,Seinen
Psycho-Pass,211,59,8.34,746191.0,1544108,37310,TV,22,Finished Airing,Fall,2012,Action,
